City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,San Cristobal,7.7669,-72.225,69.98,93,62,2.42,VE,2021-06-16 01:51:41
127,Bubaque,11.2833,-15.8333,79.5,72,100,3.98,GW,2021-06-16 01:52:47
128,Kloulklubed,7.0419,134.2556,83.97,65,98,6.55,PW,2021-06-16 01:53:27
129,Ghazipur,25.5833,83.5667,81.88,86,99,4.43,IN,2021-06-16 01:53:27
130,Anadyr,64.75,177.4833,63.1,45,0,22.37,RU,2021-06-16 01:53:27
131,Edd,13.9297,41.6925,86.32,61,100,5.46,ER,2021-06-16 01:53:28
132,Cherskiy,68.75,161.3,54.45,79,98,15.88,RU,2021-06-16 01:53:28
133,Ixtapa,20.7,-105.2,82.22,80,98,3.0,MX,2021-06-16 01:53:28
134,Severo-Kurilsk,50.6789,156.125,48.6,79,84,6.93,RU,2021-06-16 01:53:28
135,Aklavik,68.2191,-135.0107,77.83,30,82,18.57,CA,2021-06-16 01:53:29
136,Tabory,58.5198,64.5495,65.89,72,27,4.65,RU,2021-06-16 01:53:29
137,Aviemore,57.1955,-3.8259,56.17,96,100,6.64,GB,2021-06-16 01:53:29
138,Kem,64.9555,34.5793,49.87,78,99,9.69,RU,2021-06-16 01:53:29
139,Paso De Carrasco,-34.8603,-56.0522,48.34,66,20,10.36,UY,2021-06-16 01:53:30
140,Amahai,-3.3333,128.9167,81.9,74,96,3.11,ID,2021-06-16 01:53:30
141,Belaya Gora,68.5333,146.4167,49.37,37,99,17.54,RU,2021-06-16 01:53:05
142,Codrington,-38.2667,141.9667,54.61,73,22,12.53,AU,2021-06-16 01:53:30
143,Terrace Bay,48.7834,-87.1,55.02,60,31,3.67,CA,2021-06-16 01:53:30
144,Geraldton,-28.7667,114.6,61.21,82,40,5.75,AU,2021-06-16 01:53:31
145,Tura,25.5198,90.2201,77.81,86,89,4.36,IN,2021-06-16 01:53:31
146,Kennett,36.2362,-90.0556,80.83,41,1,5.75,US,2021-06-16 01:53:31
147,Saint George,37.1041,-113.5841,106.95,9,1,1.99,US,2021-06-16 01:48:51
148,San Patricio,28.017,-97.5169,88.54,71,2,7.78,US,2021-06-16 01:53:31
149,Penzance,50.1186,-5.5371,57.76,92,99,7.2,GB,2021-06-16 01:53:32
150,Jining,35.405,116.5814,81.0,1,60,6.96,CN,2021-06-16 01:53:32
151,Broome,42.2506,-75.833,59.09,92,5,1.95,US,2021-06-16 01:53:32
152,Krasnogorskiy,54.6025,61.231,68.36,72,15,2.39,RU,2021-06-16 01:53:32
153,Raton,36.9034,-104.4391,80.94,47,100,5.97,US,2021-06-16 01:53:26
154,Upernavik,72.7868,-56.1549,34.43,87,10,2.75,GL,2021-06-16 01:53:33
155,Dikson,73.5069,80.5464,31.57,91,26,6.64,RU,2021-06-16 01:51:16
156,Kavaratti,10.5669,72.642,83.08,79,100,25.61,IN,2021-06-16 01:53:33
157,Stokmarknes,68.5646,14.9108,44.38,79,95,4.27,NO,2021-06-16 01:53:33
158,Samarai,-10.6167,150.6667,81.61,78,42,11.83,PG,2021-06-16 01:53:33
159,Boende,-0.2167,20.8667,72.52,79,62,0.92,CD,2021-06-16 01:53:34
160,Ketchikan,55.3422,-131.6461,57.18,84,100,6.35,US,2021-06-16 01:53:34
161,Zagyvaszanto,47.777,19.6709,64.65,75,100,4.65,HU,2021-06-16 01:53:34
162,Palmer,42.1584,-72.3287,66.49,95,1,4.54,US,2021-06-16 01:53:34
163,Uribia,11.7139,-72.266,82.17,69,100,15.35,CO,2021-06-16 01:53:35
164,Saint-Joseph,-21.3667,55.6167,65.46,86,35,7.52,RE,2021-06-16 01:53:35
165,Clyde River,70.4692,-68.5914,39.43,75,90,0.0,CA,2021-06-16 01:51:06
166,Aitape,-3.1374,142.3475,85.21,65,94,6.26,PG,2021-06-16 01:53:35
167,Road Town,18.4167,-64.6167,82.49,78,40,11.5,VG,2021-06-16 01:50:32
168,Nicoya,10.1483,-85.452,74.75,91,100,4.18,CR,2021-06-16 01:53:35
169,Port Augusta,-32.5,137.7667,53.74,48,42,16.58,AU,2021-06-16 01:53:36
170,Poum,-20.2333,164.0167,75.85,81,31,8.16,NC,2021-06-16 01:53:36
171,Marsh Harbour,26.5412,-77.0636,81.0,82,100,10.8,BS,2021-06-16 01:53:36
172,Kodiak,57.79,-152.4072,54.41,69,0,8.43,US,2021-06-16 01:53:36
173,Viseu,40.661,-7.9097,64.85,89,95,5.44,PT,2021-06-16 01:53:37
174,Mangrol,21.1167,70.1167,84.2,77,100,16.67,IN,2021-06-16 01:53:37
175,Mogadishu,2.0371,45.3438,77.94,81,100,17.67,SO,2021-06-16 01:53:37
176,Kogon,39.7228,64.5517,71.24,42,0,11.5,UZ,2021-06-16 01:53:37
177,Bereda,43.2686,-7.5406,64.58,96,99,1.12,ES,2021-06-16 01:53:38
178,Nemuro,43.3236,145.575,52.23,90,100,6.67,JP,2021-06-16 01:53:38
179,Deputatskiy,69.3,139.9,41.83,53,100,22.5,RU,2021-06-16 01:53:38
180,Murray Bridge,-35.1167,139.2667,54.48,64,99,15.64,AU,2021-06-16 01:53:38
181,Nome,64.5011,-165.4064,50.16,77,100,7.4,US,2021-06-16 01:53:38
182,Chara,56.9064,118.2631,58.89,56,79,5.61,RU,2021-06-16 01:53:39
183,Misratah,32.3754,15.0925,72.57,71,2,5.3,LY,2021-06-16 01:53:39
184,Hvide Sande,56.0045,8.1294,45.68,78,7,9.19,DK,2021-06-16 01:53:39
185,Alto Araguaia,-17.3147,-53.2153,66.02,52,32,4.56,BR,2021-06-16 01:53:39
186,Chokurdakh,70.6333,147.9167,39.51,55,100,15.39,RU,2021-06-16 01:53:40
187,Roebourne,-20.7833,117.1333,69.48,33,100,21.41,AU,2021-06-16 01:53:40
188,Tabou,4.423,-7.3528,77.09,88,97,6.67,CI,2021-06-16 01:53:40
189,Ochamchira,42.7121,41.4721,64.76,91,41,3.44,GE,2021-06-16 01:53:40
190,Bathsheba,13.2167,-59.5167,81.21,69,90,18.41,BB,2021-06-16 01:53:41
191,Beloha,-25.1667,45.05,61.63,88,13,7.63,MG,2021-06-16 01:51:59
192,Kamiiso,41.8167,140.65,57.58,94,75,11.5,JP,2021-06-16 01:53:41
193,Kuryk,43.2,51.65,77.36,54,0,4.25,KZ,2021-06-16 01:53:41
194,Lishui,28.4604,119.9103,91.4,63,100,3.15,CN,2021-06-16 01:53:41
195,Klaksvik,62.2266,-6.589,47.32,98,95,14.56,FO,2021-06-16 01:53:42
196,Mount Isa,-20.7333,139.5,82.17,47,6,8.05,AU,2021-06-16 01:53:42
197,Los Banos,14.1667,121.1833,89.8,59,100,2.51,PH,2021-06-16 01:53:42
198,Qaanaaq,77.484,-69.3632,35.33,87,100,3.94,GL,2021-06-16 01:53:42
199,Nambucca Heads,-30.65,153.0,69.01,56,0,2.98,AU,2021-06-16 01:53:43
200,Roswell,34.0232,-84.3616,78.69,56,1,10.36,US,2021-06-16 01:52:21
201,Bati,11.1833,40.0167,69.89,32,100,2.1,ET,2021-06-16 01:53:43
202,Constitucion,-35.3333,-72.4167,54.59,80,76,8.93,CL,2021-06-16 01:53:43
203,Namibe,-15.1961,12.1522,67.55,66,26,4.88,AO,2021-06-16 01:53:43
204,Salalah,17.0151,54.0924,80.01,88,63,2.37,OM,2021-06-16 01:50:31
205,Tezu,27.9167,96.1667,78.57,95,93,0.34,IN,2021-06-16 01:53:44
206,Qaqortoq,60.7167,-46.0333,37.2,88,99,3.51,GL,2021-06-16 01:53:44
