City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
311,Ukiah,US,87.12,39.1502,-123.2078,
313,Faya,SA,68.52,18.3851,42.4509,
314,Mishan,CN,71.91,45.55,131.8833,
315,Shar,KZ,63.57,49.5886,81.0453,
316,Half Moon Bay,US,84.42,37.4636,-122.4286,
317,Manono,CD,64.71,-7.3,27.4167,
318,Grenville,GD,82.45,12.1167,-61.6167,
320,Varadero,CU,81.28,23.1536,-81.2514,
321,Bom Jesus,BR,78.35,-9.0744,-44.3586,
322,La Ronge,CA,84.42,55.1001,-105.2842,
323,Hermon,US,63.52,44.8101,-68.9134,
324,Sabha,LY,77.72,27.0377,14.4283,
325,San Quintin,MX,68.77,30.4833,-115.95,
326,Nouadhibou,MR,69.78,20.930999999999997,-17.0347,
327,Padang,ID,75.25,-0.9492,100.3543,
329,Rio Branco,BR,74.01,-9.9747,-67.81,
332,Beyneu,KZ,78.93,45.3167,55.2,
333,Den Helder,NL,60.94,52.9599,4.7593,
334,Vila,PT,61.68,42.0304,-8.1588,
336,Ferrol,ES,71.85,43.4832,-8.2369,
337,Kamaishi,JP,72.55,39.2667,141.8833,
339,Severo-Yeniseyskiy,RU,60.8,60.3725,93.0408,
341,Kumo,NG,77.68,10.0447,11.2122,
344,Gbarnga,LR,70.23,6.9956,-9.4722,
347,Washington,US,70.2,47.5001,-120.5015,
348,Vincennes,FR,70.36,48.85,2.4333,
349,Fairbanks,US,85.01,64.8378,-147.7164,
350,Nangong,CN,80.28,37.3581,115.3744,
351,La Baneza,ES,63.25,42.3003,-5.8977,
353,Isilkul,RU,70.61,54.9109,71.2728,
354,Peleduy,RU,69.94,59.6289,112.7406,
355,Klyuchi,RU,73.78,52.2667,79.1667,
356,Port Moresby,PG,82.44,-9.4431,147.1797,
357,Kosikha,RU,70.57,53.3617,84.5822,
359,Moroni,KM,73.74,-11.7022,43.2551,
360,Togur,RU,68.14,58.3631,82.8265,
362,Muyuka,CM,76.6,4.2898,9.4103,
363,Fortuna,US,73.47,40.5982,-124.1573,
364,Gotsu,JP,69.94,35.0,132.2167,
366,Sangar,RU,70.43,63.9242,127.4739,
367,Dingle,PH,86.54,10.9995,122.6711,
